fact_id,unique_id,time_id,location_id,indicator_key,batch_id,data_value
575,177935,18,141,4,1,10.12
576,173733,18,91,4,1,9.9
577,221840,18,93,6,1,32.29
578,173709,18,93,4,1,10.87
579,172203,18,91,5,1,9.49
580,177924,18,139,4,1,10.77
581,222422,18,126,6,1,35.44
582,219992,18,5,6,1,33.77
583,176022,18,140,5,1,19.53
584,169493,18,23,4,1,10.22
585,173728,18,95,4,1,13.01
586,173729,18,72,4,1,12.92
587,173706,18,74,4,1,11.12
588,173717,18,71,4,1,10.85
589,172198,18,95,5,1,31.46
590,169459,18,15,4,1,12.53
591,173707,18,67,4,1,10.41
592,166807,18,61,5,1,23.57
593,169479,18,63,4,1,10.12
594,173718,18,76,4,1,11.01
595,173721,18,98,4,1,10.77
596,169474,18,36,4,1,10.62
597,177915,18,111,4,1,10.63
598,222554,18,118,6,1,27.85
599,176005,18,122,5,1,14.76
600,166829,18,20,5,1,16.12
601,172199,18,72,5,1,31.0
602,169506,18,35,4,1,10.08
603,172174,18,86,5,1,16.09
604,169508,18,7,4,1,9.81
605,221804,18,79,6,1,34.08
606,169462,18,61,4,1,11.44
607,169464,18,40,4,1,10.89
608,222620,18,131,6,1,34.81
609,169484,18,20,4,1,10.38
610,172185,18,99,5,1,19.53
611,172183,18,68,5,1,14.96
612,169488,18,53,4,1,10.28
613,169478,18,41,4,1,10.17
614,172172,18,84,5,1,16.25
615,221924,18,87,6,1,33.3
616,221888,18,71,6,1,31.71
617,172204,18,89,5,1,18.99
618,222452,18,109,6,1,30.66
619,166823,18,41,5,1,16.52
620,166835,18,10,5,1,15.26
621,177927,18,128,4,1,10.2
622,166833,18,53,5,1,18.77
623,166856,18,50,5,1,8.11
624,176018,18,110,5,1,16.92
625,166803,18,38,5,1,24.26
626,172195,18,81,5,1,16.21
627,169477,18,58,4,1,10.27
628,169465,18,14,4,1,10.8
629,173703,18,79,4,1,10.35
630,176006,18,125,5,1,16.25
631,177901,18,120,4,1,9.49
632,169469,18,32,4,1,11.22
633,216347,18,62,6,1,32.81
634,179362,18,5,5,1,10.64
635,216407,18,58,6,1,35.97
636,166811,18,19,5,1,21.13
637,177926,18,100,4,1,9.84
638,216281,18,22,6,1,26.63
639,176021,18,107,5,1,12.25
640,216431,18,27,6,1,30.22
641,216305,18,39,6,1,22.53
642,222548,18,116,6,1,24.05
643,179360,18,3,5,1,25.83
644,176010,18,119,5,1,20.12
645,176042,18,129,5,1,8.25
646,222572,18,123,6,1,33.91
647,169490,18,10,4,1,9.99
648,222602,18,115,6,1,33.38
649,222608,18,132,6,1,34.15
650,216293,18,38,6,1,28.81
651,221948,18,88,6,1,40.3
652,177936,18,130,4,1,9.78
653,169476,18,45,4,1,10.42
654,176011,18,120,5,1,17.94
